workerid,proliferate.condition,adj,adj_tr,label,object,response,rt,slide_number_in_experiment,trial_type,error
908,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.15],2008,21,,
908,condition1,big,büyük,bottle_glass_big,bottle,[0.75],1901,22,,
908,condition1,low,alçak,table_metal_low,table,[0.72],1672,23,,
908,condition1,blond,sarı,hair_curly_blonde,hair,[0.84],2331,24,,
908,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0.05],2314,25,,
908,condition1,happy,mutlu,woman_old_happy,woman,[0.87],2025,26,,
908,condition1,sad,mutsuz,woman_old_sad,woman,[0.96],1697,27,,
908,condition1,dry,kuru,shorts_dry_green,shorts,[0.14],2526,28,,
908,condition1,young,genç,man_young_bearded,man,[0.92],1970,29,,
908,condition1,brown,kahverengi,hair_curly_brown,hair,[0.65],2455,30,,
908,condition1,green,yeşil,frog_spotted_green,frog,[0.65],2426,31,,
908,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.05],1946,32,,
908,condition1,colored,renkli,picture_colored_rectangular,picture,[0.68],2535,33,,
908,condition1,small,küçük,bottle_glass_small,bottle,[0.94],2753,34,,
908,condition1,old,yaşlı,man_old_bearded,man,[0.98],2162,35,,
908,condition1,triangular,üçgen,earring_big_triangular,earring,[0],2097,36,,
908,condition1,clean,temiz,spoon_metal_clean,spoon,[0.73],1902,37,,
908,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.19],2105,38,,
908,condition1,wet,ıslak,shorts_wet_green,shorts,[0.57],1841,39,,
908,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.64],1816,40,,
908,condition1,fat,şişman,woman2_happy_fat,woman,[0.94],2082,41,,
908,condition1,black,siyah,nails_black_glossy,nails,[0.52],2608,42,,
908,condition1,metal,metal,spoon_metal_clean,spoon,[0.27],2162,43,,
908,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0.01],3139,44,,
908,condition1,bearded,sakallı,man_old_bearded,man,[0.14],3452,45,,
908,condition1,spotted,benekli,frog_spotted_green,frog,[0.18],3102,46,,
908,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.58],2221,47,,
908,condition1,red,kırmızı,frog_spotted_red,frog,[0.61],2596,48,,
940,condition1,,,,beyaz,Beyaz,0,1,bot_check,
940,condition1,round,yuvarlak,earring_big_round,earring,[1],13023,3,,
940,condition1,striped,çizgili,frog_striped_green,frog,[1],2048,4,,
940,condition1,wooden,tahta,spoon_wooden_clean,spoon,[1],2248,5,,
940,condition1,short,kısa,pencil_short_black,pencil,[0.99],2041,6,,
940,condition1,dry,kuru,shorts_dry_green,shorts,[1],6055,7,,
940,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0],2872,8,,
940,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0],2504,9,,
940,condition1,closed,kapalı,box_closed_cardboard,box,[1],2120,10,,
940,condition1,metal,metal,spoon_metal_clean,spoon,[0],3064,11,,
940,condition1,spotted,benekli,frog_spotted_green,frog,[1],3071,12,,
940,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0],3449,13,,
940,condition1,old,yaşlı,man_old_bearded,man,[0],2631,14,,
940,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0],15230,15,,
940,condition1,triangular,üçgen,earring_big_triangular,earring,[0.02],3690,16,,
940,condition1,sad,mutsuz,woman_old_sad,woman,[1],3552,17,,
940,condition1,high,yüksek,table_metal_high,table,[1],3376,18,,
940,condition1,matte,mat,nails_black_matte,nails,[1],4024,19,,
940,condition1,open,açık,box_open_cardboard,box,[0],3168,20,,
940,condition1,happy,mutlu,woman_old_happy,woman,[1],3968,21,,
940,condition1,young,genç,man_young_bearded,man,[0],2904,22,,
940,condition1,blue,mavi,pencil_long_blue,pencil,[0],5287,23,,
940,condition1,brown,kahverengi,hair_curly_brown,hair,[0],2472,24,,
940,condition1,black,siyah,nails_black_glossy,nails,[0],1808,25,,
940,condition1,cardboard,karton,box_closed_cardboard,box,[0],2433,26,,
940,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0],3591,27,,
940,condition1,fat,şişman,woman2_happy_fat,woman,[1],3544,28,,
940,condition1,wet,ıslak,shorts_wet_green,shorts,[1],2240,29,,
940,condition1,green,yeşil,frog_spotted_green,frog,[0],2392,30,,
940,condition1,square,kare,picture_bw_square,picture,[0],2920,31,,
940,condition1,small,küçük,bottle_glass_small,bottle,[0],2792,32,,
940,condition1,long,uzun,pencil_long_black,pencil,[0],2272,33,,
940,condition1,low,alçak,table_metal_low,table,[0],2167,34,,
940,condition1,clean,temiz,spoon_metal_clean,spoon,[0],2200,35,,
940,condition1,bearded,sakallı,man_old_bearded,man,[0],2560,36,,
940,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0],1849,37,,
940,condition1,skinny,zayıf,woman2_happy_skinny,woman,[1],3255,38,,
940,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0],1832,39,,
940,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0],1807,40,,
940,condition1,plastic,plastik,bottle_plastic_big,bottle,[1],3983,41,,
940,condition1,big,büyük,bottle_glass_big,bottle,[1],2399,42,,
940,condition1,blond,sarı,hair_curly_blonde,hair,[0],2465,43,,
940,condition1,straight,düz,hair_straight_blond,hair,[0],1751,44,,
940,condition1,red,kırmızı,frog_spotted_red,frog,[0],2137,45,,
940,condition1,colored,renkli,picture_colored_rectangular,picture,[0],1976,46,,
940,condition1,glass,cam,bottle_glass_big,bottle,[1],3176,47,,
940,condition1,glossy,parlak,nails_black_glossy,nails,[1],2080,48,,
929,condition1,,,,beyaz,Beyaz,0,1,bot_check,
929,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0.51],20825,3,,
929,condition1,dry,kuru,shorts_dry_green,shorts,[0.52],5984,4,,
929,condition1,round,yuvarlak,earring_big_round,earring,[0.42],4574,5,,
929,condition1,straight,düz,hair_straight_blond,hair,[0.52],9822,6,,
929,condition1,spotted,benekli,frog_spotted_green,frog,[0.55],3925,7,,
929,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0.03],8329,8,,
929,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.24],4006,9,,
929,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.48],4168,10,,
929,condition1,happy,mutlu,woman_old_happy,woman,[0.97],5307,11,,
929,condition1,glossy,parlak,nails_black_glossy,nails,[0.59],6578,12,,
929,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.96],7396,13,,
929,condition1,black,siyah,nails_black_glossy,nails,[0.02],4723,14,,
929,condition1,red,kırmızı,frog_spotted_red,frog,[0.02],3825,15,,
929,condition1,big,büyük,bottle_glass_big,bottle,[0.99],32620,16,,
929,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.02],6153,17,,
929,condition1,low,alçak,table_metal_low,table,[0.71],3967,18,,
929,condition1,young,genç,man_young_bearded,man,[0.78],4004,19,,
929,condition1,green,yeşil,frog_spotted_green,frog,[0.03],4135,20,,
929,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.35],6525,21,,
929,condition1,bearded,sakallı,man_old_bearded,man,[0.64],7409,22,,
929,condition1,blond,sarı,hair_curly_blonde,hair,[0.57],4453,23,,
929,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.01],4919,24,,
929,condition1,striped,çizgili,frog_striped_green,frog,[0.33],3270,25,,
929,condition1,long,uzun,pencil_long_black,pencil,[0.66],3727,26,,
929,condition1,square,kare,picture_bw_square,picture,[0.03],3201,27,,
929,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.4],2840,28,,
929,condition1,brown,kahverengi,hair_curly_brown,hair,[0.66],4546,29,,
929,condition1,small,küçük,bottle_glass_small,bottle,[0.73],5500,30,,
929,condition1,short,kısa,pencil_short_black,pencil,[0.73],3317,31,,
929,condition1,open,açık,box_open_cardboard,box,[0],4360,32,,
929,condition1,triangular,üçgen,earring_big_triangular,earring,[0.01],3789,33,,
929,condition1,clean,temiz,spoon_metal_clean,spoon,[0.67],5281,34,,
929,condition1,matte,mat,nails_black_matte,nails,[0.73],4105,35,,
929,condition1,wet,ıslak,shorts_wet_green,shorts,[0.53],4349,36,,
929,condition1,colored,renkli,picture_colored_rectangular,picture,[0.01],13805,37,,
929,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.01],2733,38,,
929,condition1,high,yüksek,table_metal_high,table,[0.74],2884,39,,
929,condition1,sad,mutsuz,woman_old_sad,woman,[0.96],2982,40,,
929,condition1,glass,cam,bottle_glass_big,bottle,[0.02],2618,41,,
929,condition1,closed,kapalı,box_closed_cardboard,box,[0.04],2105,42,,
929,condition1,old,yaşlı,man_old_bearded,man,[0.73],3422,43,,
929,condition1,fat,şişman,woman2_happy_fat,woman,[0.91],3534,44,,
929,condition1,cardboard,karton,box_closed_cardboard,box,[0.03],2470,45,,
929,condition1,blue,mavi,pencil_long_blue,pencil,[0.17],4920,46,,
929,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0.25],2823,47,,
929,condition1,metal,metal,spoon_metal_clean,spoon,[0.01],5054,48,,
934,condition1,,,,beyaz,Beyaz,0,1,bot_check,
934,condition1,wet,ıslak,shorts_wet_green,shorts,[0],20909,3,,
934,condition1,black,siyah,nails_black_glossy,nails,[0],6847,4,,
934,condition1,cardboard,karton,box_closed_cardboard,box,[0.46],6880,5,,
934,condition1,old,yaşlı,man_old_bearded,man,[1],13640,6,,
934,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.59],9999,7,,
934,condition1,metal,metal,spoon_metal_clean,spoon,[0],4528,8,,
934,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0],5048,9,,
934,condition1,blond,sarı,hair_curly_blonde,hair,[0],3503,10,,
934,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0],2808,11,,
934,condition1,triangular,üçgen,earring_big_triangular,earring,[0],3072,12,,
934,condition1,fat,şişman,woman2_happy_fat,woman,[0.68],5408,13,,
934,condition1,dry,kuru,shorts_dry_green,shorts,[0],3672,14,,
934,condition1,spotted,benekli,frog_spotted_green,frog,[0],3360,15,,
934,condition1,blue,mavi,pencil_long_blue,pencil,[0],2719,16,,
934,condition1,straight,düz,hair_straight_blond,hair,[0],3744,17,,
934,condition1,matte,mat,nails_black_matte,nails,[0.78],5528,18,,
934,condition1,green,yeşil,frog_spotted_green,frog,[0],2528,19,,
934,condition1,open,açık,box_open_cardboard,box,[0],3142,20,,
934,condition1,long,uzun,pencil_long_black,pencil,[0.48],6128,21,,
934,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0],3072,22,,
934,condition1,dirty,kirli,spoon_metal_dirty,spoon,[1],4567,23,,
934,condition1,bearded,sakallı,man_old_bearded,man,[0],2648,24,,
934,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0],3224,25,,
934,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0],4856,26,,
934,condition1,sad,mutsuz,woman_old_sad,woman,[1],3591,27,,
934,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0],3088,28,,
934,condition1,round,yuvarlak,earring_big_round,earring,[0],2584,29,,
934,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.48],3616,30,,
934,condition1,striped,çizgili,frog_striped_green,frog,[0.02],2975,31,,
934,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0],5936,32,,
934,condition1,short,kısa,pencil_short_black,pencil,[0.56],8024,33,,
934,condition1,glossy,parlak,nails_black_glossy,nails,[0.57],3233,34,,
934,condition1,glass,cam,bottle_glass_big,bottle,[0],2391,35,,
934,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.46],5463,36,,
934,condition1,big,büyük,bottle_glass_big,bottle,[0.51],3576,37,,
934,condition1,square,kare,picture_bw_square,picture,[0],2343,38,,
934,condition1,clean,temiz,spoon_metal_clean,spoon,[0.68],2408,39,,
934,condition1,red,kırmızı,frog_spotted_red,frog,[0],2249,40,,
